Canton;Classes d'âge par étapes de 5 ans;Nationalité;Chômeurs inscrits
Obwald;35-39 ans;Etrangers;10
Obwald;35-39 ans;Suisses;2
Obwald;35-39 ans;Total;12
Obwald;40-44 ans;Etrangers;10
Obwald;40-44 ans;Suisses;12
Obwald;40-44 ans;Total;22
Obwald;45-49 ans;Etrangers;13
Obwald;45-49 ans;Suisses;13
Obwald;45-49 ans;Total;26
Obwald;50-54 ans;Etrangers;12
Obwald;50-54 ans;Suisses;18
Obwald;50-54 ans;Total;30
Obwald;55-59 ans;Etrangers;3
Obwald;55-59 ans;Suisses;12
Obwald;55-59 ans;Total;15
Obwald;60 ans et plus;Etrangers;2
Obwald;60 ans et plus;Suisses;17
Obwald;60 ans et plus;Total;19
Obwald;Total;;176
Nidwald;15-19 ans;Etrangers;5
Nidwald;15-19 ans;Suisses;3
Nidwald;15-19 ans;Total;8
Nidwald;20-24 ans;Etrangers;5
Nidwald;20-24 ans;Suisses;7
Nidwald;20-24 ans;Total;12
Nidwald;25-29 ans;Etrangers;4
Nidwald;25-29 ans;Suisses;10
Nidwald;25-29 ans;Total;14
Nidwald;30-34 ans;Etrangers;17
Nidwald;30-34 ans;Suisses;10
Nidwald;30-34 ans;Total;27
Nidwald;35-39 ans;Etrangers;13
Nidwald;35-39 ans;Suisses;13
Nidwald;35-39 ans;Total;26
Nidwald;40-44 ans;Etrangers;11
Nidwald;40-44 ans;Suisses;9
Nidwald;40-44 ans;Total;20
Nidwald;45-49 ans;Etrangers;13
Nidwald;45-49 ans;Suisses;23
Nidwald;45-49 ans;Total;36
Nidwald;50-54 ans;Etrangers;15
Nidwald;50-54 ans;Suisses;27
Nidwald;50-54 ans;Total;42
Nidwald;55-59 ans;Etrangers;12
Nidwald;55-59 ans;Suisses;28
Nidwald;55-59 ans;Total;40
Nidwald;60 ans et plus;Etrangers;1
Nidwald;60 ans et plus;Suisses;15
Nidwald;60 ans et plus;Total;16
Nidwald;Total;;241
Glaris;15-19 ans;Etrangers;6
Glaris;15-19 ans;Suisses;11
Glaris;15-19 ans;Total;17
Glaris;20-24 ans;Etrangers;13
Glaris;20-24 ans;Suisses;21
Glaris;20-24 ans;Total;34
Glaris;25-29 ans;Etrangers;27
Glaris;25-29 ans;Suisses;36
Glaris;25-29 ans;Total;63
Glaris;30-34 ans;Etrangers;26
Glaris;30-34 ans;Suisses;22
Glaris;30-34 ans;Total;48
Glaris;35-39 ans;Etrangers;26
Glaris;35-39 ans;Suisses;18
Glaris;35-39 ans;Total;44
Glaris;40-44 ans;Etrangers;21
Glaris;40-44 ans;Suisses;13
Glaris;40-44 ans;Total;34
Glaris;45-49 ans;Etrangers;19
Glaris;45-49 ans;Suisses;15
Glaris;45-49 ans;Total;34
Glaris;50-54 ans;Etrangers;16
Glaris;50-54 ans;Suisses;29
Glaris;50-54 ans;Total;45
Glaris;55-59 ans;Etrangers;25
Glaris;55-59 ans;Suisses;25
Glaris;55-59 ans;Total;50
Glaris;60 ans et plus;Etrangers;16
Glaris;60 ans et plus;Suisses;30
Glaris;60 ans et plus;Total;46
Glaris;Total;;415
Zoug;15-19 ans;Etrangers;13
Zoug;15-19 ans;Suisses;17
Zoug;15-19 ans;Total;30
Zoug;20-24 ans;Etrangers;36
Zoug;20-24 ans;Suisses;53
Zoug;20-24 ans;Total;89
Zoug;25-29 ans;Etrangers;59
Zoug;25-29 ans;Suisses;78
Zoug;25-29 ans;Total;137
Zoug;30-34 ans;Etrangers;112
Zoug;30-34 ans;Suisses;90
Zoug;30-34 ans;Total;202
Zoug;35-39 ans;Etrangers;110
Zoug;35-39 ans;Suisses;81
Zoug;35-39 ans;Total;191
Zoug;40-44 ans;Etrangers;101
Zoug;40-44 ans;Suisses;83
Zoug;40-44 ans;Total;184
Zoug;45-49 ans;Etrangers;108
Zoug;45-49 ans;Suisses;120
Zoug;45-49 ans;Total;228
Zoug;50-54 ans;Etrangers;94
Zoug;50-54 ans;Suisses;147
Zoug;50-54 ans;Total;241
Zoug;55-59 ans;Etrangers;60
Zoug;55-59 ans;Suisses;100
Zoug;55-59 ans;Total;160
Zoug;60 ans et plus;Etrangers;35
Zoug;60 ans et plus;Suisses;77
Zoug;60 ans et plus;Total;112
Zoug;Total;;1 574
Fribourg;15-19 ans;Etrangers;45
Fribourg;15-19 ans;Suisses;70
Fribourg;15-19 ans;Total;115
Fribourg;20-24 ans;Etrangers;137
Fribourg;20-24 ans;Suisses;289
Fribourg;20-24 ans;Total;426
Fribourg;25-29 ans;Etrangers;233
Fribourg;25-29 ans;Suisses;362
Fribourg;25-29 ans;Total;595
Fribourg;30-34 ans;Etrangers;281
Fribourg;30-34 ans;Suisses;293
Fribourg;30-34 ans;Total;574
Fribourg;35-39 ans;Etrangers;301
Fribourg;35-39 ans;Suisses;265
Fribourg;35-39 ans;Total;566
Fribourg;40-44 ans;Etrangers;246
Fribourg;40-44 ans;Suisses;277
Fribourg;40-44 ans;Total;523
Fribourg;45-49 ans;Etrangers;203
Fribourg;45-49 ans;Suisses;269
Fribourg;45-49 ans;Total;472
Fribourg;50-54 ans;Etrangers;179
Fribourg;50-54 ans;Suisses;300
Fribourg;50-54 ans;Total;479
Fribourg;55-59 ans;Etrangers;120
Fribourg;55-59 ans;Suisses;233
Fribourg;55-59 ans;Total;353
Fribourg;60 ans et plus;Etrangers;61
Fribourg;60 ans et plus;Suisses;208
Fribourg;60 ans et plus;Total;269
Fribourg;Total;;4 372
Soleure;15-19 ans;Etrangers;81
Soleure;15-19 ans;Suisses;132
Soleure;15-19 ans;Total;213
Soleure;20-24 ans;Etrangers;126
Soleure;20-24 ans;Suisses;229
Soleure;20-24 ans;Total;355
Soleure;25-29 ans;Etrangers;213
Soleure;25-29 ans;Suisses;259
Soleure;25-29 ans;Total;472
Soleure;30-34 ans;Etrangers;244
Soleure;30-34 ans;Suisses;267
Soleure;30-34 ans;Total;511
Soleure;35-39 ans;Etrangers;203
Soleure;35-39 ans;Suisses;200
Soleure;35-39 ans;Total;403
Soleure;40-44 ans;Etrangers;174
Soleure;40-44 ans;Suisses;165
Soleure;40-44 ans;Total;339
Soleure;45-49 ans;Etrangers;172
