Canton;Classes d'âge par étapes de 5 ans;Nationalité;Chômeurs inscrits
Vaud;45-49 ans;Total;1 957
Vaud;50-54 ans;Etrangers;773
Vaud;50-54 ans;Suisses;1 063
Vaud;50-54 ans;Total;1 836
Vaud;55-59 ans;Etrangers;591
Vaud;55-59 ans;Suisses;861
Vaud;55-59 ans;Total;1 452
Vaud;60 ans et plus;Etrangers;297
Vaud;60 ans et plus;Suisses;573
Vaud;60 ans et plus;Total;870
Vaud;Total;;17 105
Valais;15-19 ans;Etrangers;94
Valais;15-19 ans;Suisses;124
Valais;15-19 ans;Total;218
Valais;20-24 ans;Etrangers;174
Valais;20-24 ans;Suisses;363
Valais;20-24 ans;Total;537
Valais;25-29 ans;Etrangers;276
Valais;25-29 ans;Suisses;415
Valais;25-29 ans;Total;691
Valais;30-34 ans;Etrangers;331
Valais;30-34 ans;Suisses;315
Valais;30-34 ans;Total;646
Valais;35-39 ans;Etrangers;314
Valais;35-39 ans;Suisses;264
Valais;35-39 ans;Total;578
Valais;40-44 ans;Etrangers;270
Valais;40-44 ans;Suisses;238
Valais;40-44 ans;Total;508
Valais;45-49 ans;Etrangers;256
Valais;45-49 ans;Suisses;276
Valais;45-49 ans;Total;532
Valais;50-54 ans;Etrangers;219
Valais;50-54 ans;Suisses;316
Valais;50-54 ans;Total;535
Valais;55-59 ans;Etrangers;142
Valais;55-59 ans;Suisses;271
Valais;55-59 ans;Total;413
Valais;60 ans et plus;Etrangers;113
Valais;60 ans et plus;Suisses;234
Valais;60 ans et plus;Total;347
Valais;Total;;5 005
Neuchâtel;15-19 ans;Etrangers;56
Neuchâtel;15-19 ans;Suisses;131
Neuchâtel;15-19 ans;Total;187
Neuchâtel;20-24 ans;Etrangers;129
Neuchâtel;20-24 ans;Suisses;321
Neuchâtel;20-24 ans;Total;450
Neuchâtel;25-29 ans;Etrangers;241
Neuchâtel;25-29 ans;Suisses;446
Neuchâtel;25-29 ans;Total;687
Neuchâtel;30-34 ans;Etrangers;316
Neuchâtel;30-34 ans;Suisses;309
Neuchâtel;30-34 ans;Total;625
Neuchâtel;35-39 ans;Etrangers;313
Neuchâtel;35-39 ans;Suisses;283
Neuchâtel;35-39 ans;Total;596
Neuchâtel;40-44 ans;Etrangers;319
Neuchâtel;40-44 ans;Suisses;252
Neuchâtel;40-44 ans;Total;571
Neuchâtel;45-49 ans;Etrangers;221
Neuchâtel;45-49 ans;Suisses;315
Neuchâtel;45-49 ans;Total;536
Neuchâtel;50-54 ans;Etrangers;201
Neuchâtel;50-54 ans;Suisses;288
Neuchâtel;50-54 ans;Total;489
Neuchâtel;55-59 ans;Etrangers;138
Neuchâtel;55-59 ans;Suisses;274
Neuchâtel;55-59 ans;Total;412
Neuchâtel;60 ans et plus;Etrangers;82
Neuchâtel;60 ans et plus;Suisses;217
Neuchâtel;60 ans et plus;Total;299
Neuchâtel;Total;;4 852
Genève;15-19 ans;Etrangers;7
Genève;15-19 ans;Suisses;22
Genève;15-19 ans;Total;29
Genève;20-24 ans;Etrangers;234
Genève;20-24 ans;Suisses;458
Genève;20-24 ans;Total;692
Genève;25-29 ans;Etrangers;701
Genève;25-29 ans;Suisses;1 072
Genève;25-29 ans;Total;1 773
Genève;30-34 ans;Etrangers;1 077
Genève;30-34 ans;Suisses;887
Genève;30-34 ans;Total;1 964
Genève;35-39 ans;Etrangers;1 132
Genève;35-39 ans;Suisses;762
Genève;35-39 ans;Total;1 894
Genève;40-44 ans;Etrangers;919
Genève;40-44 ans;Suisses;685
Genève;40-44 ans;Total;1 604
Genève;45-49 ans;Etrangers;707
Genève;45-49 ans;Suisses;685
Genève;45-49 ans;Total;1 392
Genève;50-54 ans;Etrangers;538
Genève;50-54 ans;Suisses;691
Genève;50-54 ans;Total;1 229
Genève;55-59 ans;Etrangers;340
Genève;55-59 ans;Suisses;518
Genève;55-59 ans;Total;858
Genève;60 ans et plus;Etrangers;219
Genève;60 ans et plus;Suisses;390
Genève;60 ans et plus;Total;609
Genève;Total;;12 044
Jura;15-19 ans;Etrangers;13
Jura;15-19 ans;Suisses;35
Jura;15-19 ans;Total;48
Jura;20-24 ans;Etrangers;48
Jura;20-24 ans;Suisses;133
Jura;20-24 ans;Total;181
Jura;25-29 ans;Etrangers;56
Jura;25-29 ans;Suisses;136
Jura;25-29 ans;Total;192
Jura;30-34 ans;Etrangers;77
Jura;30-34 ans;Suisses;119
Jura;30-34 ans;Total;196
Jura;35-39 ans;Etrangers;79
Jura;35-39 ans;Suisses;97
Jura;35-39 ans;Total;176
Jura;40-44 ans;Etrangers;73
Jura;40-44 ans;Suisses;91
Jura;40-44 ans;Total;164
Jura;45-49 ans;Etrangers;73
Jura;45-49 ans;Suisses;113
Jura;45-49 ans;Total;186
Jura;50-54 ans;Etrangers;55
Jura;50-54 ans;Suisses;131
Jura;50-54 ans;Total;186
Jura;55-59 ans;Etrangers;41
Jura;55-59 ans;Suisses;111
Jura;55-59 ans;Total;152
Jura;60 ans et plus;Etrangers;20
Jura;60 ans et plus;Suisses;102
Jura;60 ans et plus;Total;122
Jura;Total;;1 603
