Canton;Nationalité;Mesures;Value
Tessin;Total;Demandeurs d'emploi;8 295
Vaud;Etrangers;Chômeurs inscrits;8 143
Vaud;Etrangers;Demandeurs d'emploi;12 107
Vaud;Suisses;Chômeurs inscrits;8 962
Vaud;Suisses;Demandeurs d'emploi;12 484
Vaud;Total;Chômeurs inscrits;17 105
Vaud;Total;Demandeurs d'emploi;24 591
Valais;Etrangers;Chômeurs inscrits;2 189
Valais;Etrangers;Demandeurs d'emploi;3 697
Valais;Suisses;Chômeurs inscrits;2 816
Valais;Suisses;Demandeurs d'emploi;4 302
Valais;Total;Chômeurs inscrits;5 005
Valais;Total;Demandeurs d'emploi;7 999
Neuchâtel;Etrangers;Chômeurs inscrits;2 016
Neuchâtel;Etrangers;Demandeurs d'emploi;2 749
Neuchâtel;Suisses;Chômeurs inscrits;2 836
Neuchâtel;Suisses;Demandeurs d'emploi;3 756
Neuchâtel;Total;Chômeurs inscrits;4 852
Neuchâtel;Total;Demandeurs d'emploi;6 505
Genève;Etrangers;Chômeurs inscrits;5 874
Genève;Etrangers;Demandeurs d'emploi;7 686
Genève;Suisses;Chômeurs inscrits;6 170
Genève;Suisses;Demandeurs d'emploi;7 861
Genève;Total;Chômeurs inscrits;12 044
Genève;Total;Demandeurs d'emploi;15 547
Jura;Etrangers;Chômeurs inscrits;535
Jura;Etrangers;Demandeurs d'emploi;755
Jura;Suisses;Chômeurs inscrits;1 068
Jura;Suisses;Demandeurs d'emploi;1 659
Jura;Total;Chômeurs inscrits;1 603
Jura;Total;Demandeurs d'emploi;2 414
